"Product ID";Immagine;Nome;Riferimento;Categoria;"Prezzo (tasse escl.)";"Prezzo (tasse incl.)";Quantità;Stato;Posizione
10959;https://horecamart.it/30321/globo-mappamondo-girevole-con-base-in-plastica-decorato-sfondo-sabbia-cm-105.jpg;"Globo mappamondo girevole con base in plastica decorato sfondo sabbia cm 10.5.";9172310;Oggettistica;3.237705;3.95;1000;0
10958;https://horecamart.it/30317/globo-mappamondo-girevole-con-base-in-plastica-decorato-sfondo-azzurro-cm-20.jpg;"Globo mappamondo girevole con base in plastica decorato sfondo azzurro cm 20";9172220;Oggettistica;17.991803;21.95;200;0
10957;https://horecamart.it/30315/globo-mappamondo-girevole-con-base-in-plastica-decorato-sfondo-azzurro-cm-145.jpg;"Globo mappamondo girevole con base in plastica decorato sfondo azzurro cm 14.5";9172214;Oggettistica;7.336066;8.95;500;0
10956;https://horecamart.it/30311/globo-mappamondo-girevole-con-base-in-plastica-decorato-sfondo-azzurro-cm-105.jpg;"Globo mappamondo girevole con base in plastica decorato sfondo azzurro cm 10.5";9172210;Oggettistica;3.237705;3.95;500;0
10955;https://horecamart.it/30310/set-6-mug-vesuvio-in-porcellana-bianca-cc-340.jpg;"Set 6 Mug Vesuvio in porcellana bianca cc 340";9075068;Mug;21.270492;25.95;1000;0
10954;https://horecamart.it/30307/brocca-in-vetro-borosilicato-colorata-lt-13-forma-cilindrica.jpg;"Brocca in vetro borosilicato colorata lt 1,3 forma cilindrica";9068400;"Caraffe e Brocche";13.073770;15.95;1000;0
10953;https://horecamart.it/30304/set-6-mug-in-vetro-borosilicato-colori-assortiti-cl-385-forma-cilindrica.jpg;"Set 6 mug in vetro borosilicato colori assortiti cl 38,5 forma cilindrica";7277200;Mug;35.204918;42.95;500;0
10952;https://horecamart.it/30303/set-6-mug-in-vetro-borosilicato-trasparente-manico-decorato-colori-assortiti-cl-47.jpg;"Set 6 mug in vetro borosilicato trasparente manico decorato colori assortiti cl 47";7277400;"Tazze Natalizie";40.122951;48.95;1000;0
10951;https://horecamart.it/30291/set-9-tazze-jumbo-deer-spirit-in-new-bone-china-decorata-cc-420.jpg;"Set 9 Tazze jumbo Deer Spirit in new bone china decorata cc 420";8206165;"Tazze Natalizie";47.500000;57.95;1000;0
10950;https://horecamart.it/30287/set-12-tazze-te-deer-spirit-in-new-bone-china-decorata-cc-280.jpg;"Set 12 Tazze tè Deer Spirit in new bone china decorata cc 280";8206162;"Tazze Natalizie";41.762295;50.95;1000;0
10949;https://horecamart.it/30284/set-18-tazze-caffe-deer-spirit-in-new-bone-china-decorata-cc-90.jpg;"Set 18 Tazze caffè Deer Spirit in new bone china decorata cc 90";8206160;"Tazze Natalizie";55.696721;67.95;1000;0
10948;https://horecamart.it/30279/set-9-mug-winter-charm-in-new-bone-china-decorata-cc-330.jpg;"Set 9 Mug Winter Charm in new bone china decorata cc 330";8206068;"Tazze Natalizie";37.663934;45.95;0;1
10947;https://horecamart.it/30273/set-18-tazze-caffe-winter-charm-in-new-bone-china-decorata-cc-90.jpg;"Set 18 Tazze caffè Winter Charm in new bone china decorata cc 90";8206060;"Tazze Natalizie";55.696721;67.95;200;0
10946;https://horecamart.it/30268/alzata-con-piede-redwood-in-vetro-decorato-rosso-e-oro-cm-28.jpg;"Alzata con piede Redwood in vetro decorato rosso e oro cm 28";6351528;Alzatine;16.352459;19.95;0;1
10945;https://horecamart.it/30267/alzata-con-piede-redwood-in-vetro-decorato-rosso-e-oro-cm-21.jpg;"Alzata con piede Redwood in vetro decorato rosso e oro cm 21";6351521;Alzatine;12.254098;14.95;0;1
10944;https://horecamart.it/30266/centrotavola-redwood-in-vetro-decorato-rosso-e-oro-cm-30.jpg;"Centrotavola Redwood in vetro decorato rosso e oro cm 30";6351330;Centrotavola;13.893443;16.95;100;0
10943;https://horecamart.it/30265/centrotavola-redwood-in-vetro-decorato-rosso-e-oro-cm-21.jpg;"Centrotavola Redwood in vetro decorato rosso e oro cm 21";6351321;Centrotavola;8.975410;10.95;200;0
10942;https://horecamart.it/30264/coppa-redwood-in-vetro-decorato-rosso-e-oro-forma-nordica-cm-20.jpg;"Coppa Redwood in vetro decorato rosso e oro forma nordica cm 20";6351120;Vetro;9.795082;11.95;500;0
10941;https://horecamart.it/30263/coppetta-redwood-in-vetro-decorato-rosso-e-oro-forma-nordica-cm-15.jpg;"Coppetta Redwood in vetro decorato rosso e oro forma nordica cm 15";6351115;Vetro;5.696721;6.95;200;0
10940;https://horecamart.it/30262/piatto-redwood-in-vetro-decorato-rosso-e-oro-forma-nordica-cm-32.jpg;"Piatto Redwood in vetro decorato rosso e oro forma nordica cm 32";6351032;Piani;13.893443;16.95;22;0
10939;https://horecamart.it/30261/piatto-redwood-in-vetro-decorato-rosso-e-oro-forma-nordica-cm-28.jpg;"Piatto Redwood in vetro decorato rosso e oro forma nordica cm 28";6351028;Piani;8.975410;10.95;100;0
10938;https://horecamart.it/30260/piatto-redwood-in-vetro-decorato-rosso-e-oro-forma-nordica-cm-21.jpg;"Piatto Redwood in vetro decorato rosso e oro forma nordica cm 21";6351021;Piani;5.696721;6.95;100;0
10937;https://horecamart.it/30259/alzata-con-piede-nevalis-in-vetro-decorato-bianco-e-oro-cm-28.jpg;"Alzata con piede Nevalis in vetro decorato bianco e oro cm 28.";6350628;Alzatine;17.172131;20.95;0;1
10936;https://horecamart.it/30258/alzata-con-piede-nevalis-in-vetro-decorato-bianco-oro-cm-21.jpg;"Alzata con piede Nevalis in vetro decorato bianco oro cm 21.";6350621;Alzatine;13.073770;15.95;200;0
10935;https://horecamart.it/30257/coppetta-nevalis-in-vetro-decorato-bianco-oro-cm-15.jpg;"Coppetta Nevalis in vetro decorato bianco oro cm 15";6350315;Vetro;4.877049;5.95;0;1
10934;https://horecamart.it/30256/centrotavola-nevalis-in-vetro-decorato-bianco-oro-cm-40.jpg;"Centrotavola Nevalis in vetro decorato bianco oro cm 40.";6350240;Centrotavola;20.450820;24.95;0;1
10933;https://horecamart.it/30255/centrotavola-nevalis-in-vetro-decorato-bianco-oro-cm-30.jpg;"Centrotavola Nevalis in vetro decorato bianco oro cm 30";6350230;Piani;13.893443;16.95;0;1
10932;https://horecamart.it/30254/piatto-nevalis-in-vetro-decorato-bianco-oro-forma-coupe-cm-28.jpg;"Piatto Nevalis in vetro decorato bianco oro forma coupe cm 28";6350028;Piani;8.975410;10.95;0;1
10931;https://horecamart.it/30253/piatto-nevalis-in-vetro-decorato-bianco-oro-forma-coupe-cm-21.jpg;"Piatto Nevalis in vetro decorato bianco oro forma coupe cm 21";6350021;"Piatti e coppe Natalizi";5.696721;6.95;0;1
10930;https://horecamart.it/30252/centrotavola-silk-in-vetro-effetto-seta-colore-perla-cm-28.jpg;"Centrotavola Silk in vetro effetto seta colore perla cm 28";6347428;Alzatine;14.713115;17.95;50;0
10929;https://horecamart.it/30251/alzata-con-piede-silk-in-vetro-effetto-seta-colore-perla-cm-21.jpg;"Alzata con piede Silk in vetro effetto seta colore perla cm 21";6347421;Alzatine;11.434426;13.95;100;0
10928;https://horecamart.it/30250/centrotavola-silk-ovale-in-vetro-effetto-seta-colore-perla-cm-315.jpg;"Centrotavola Silk ovale in vetro effetto seta colore perla cm 31,5";6347232;Centrotavola;8.975410;10.95;50;0
10927;https://horecamart.it/30249/centrotavola-silk-in-vetro-effetto-seta-colore-perla-cm-40.jpg;"Centrotavola Silk in vetro effetto seta colore perla cm 40";6347140;Centrotavola;13.893443;16.95;50;0
10926;https://horecamart.it/30248/centrotavola-silk-in-vetro-effetto-seta-colore-perla-cm-30.jpg;"Centrotavola Silk in vetro effetto seta colore perla cm 30";6347130;Centrotavola;8.975410;10.95;200;0
10925;https://horecamart.it/30448/6-coppette-silk-in-vetro-effetto-seta-colore-perla-cm-15.jpg;"6 coppette Silk in vetro effetto seta colore perla cm 15";2375755;Vetro;17.991803;21.95;100;0
10924;https://horecamart.it/30247/coppa-silk-in-vetro-effetto-seta-colore-perla-cm-22.jpg;"Coppa Silk in vetro effetto seta colore perla cm 22";6347042;Vetro;6.516393;7.95;200;0
